1380;20219202;3273010; SMP BPPI BOJONG
1381;20219353;3273010; SMP YPKKP
1382;20219489;3273010; SMP PLUS SINDANG RESMI
1383;69894450;3273010; SMP CITRA CEMARA
1384;20219196;3273010; SMP BPK PENABUR HOLIS
1385;20219498;3273010; SMP PASUNDAN 7
1386;121132730001;3273020;MTs Bandung
1387;121232730017;3273020;MTs Al Amanah
1388;20219343;3273020; SMP NEGERI 21
1389;20219419;3273020; SMP NEGERI 36
1390;20219417;3273020; SMP NEGERI 39
1391;20219504;3273020; SMP MUTIARA 3
1392;20219496;3273020; SMP PASUNDAN 9
1393;121232730014;3273030;MTs Baabussalaam
1394;121232730015;3273030;MTs Persatuan Islam 29
1395;121232730016;3273030;MTs Salafiyah
1396;20219500;3273030; SMP NUSANTARA
1397;20219358;3273030; SMP SWADAYA 1 BANDUNG
1398;20219410;3273030; SMP NEGERI 24
1399;69946483;3273030; SMP PELITA FAJAR
1400;20219357;3273030; SMP SWADAYA 2
1401;20219512;3273030; SMP PASUNDAN 5
1402;20219508;3273030; SMP PAHLAWAN TOHA
1403;20252350;3273030; SMP JENDERAL SUDIRMAN
1404;20219422;3273030; SMP NEGERI 33
1405;121232730018;3273040;MTs Al Huda
1406;121232730019;3273040;MTs Nurul Huda
1407;121232730020;3273040;MTs Nurul Iman
1408;121232730021;3273040;MTs Sirnamiskin
1409;20251907;3273040; SMP NEGERI 38
1410;69907014;3273040; SMP KRISTEN BPK PENABUR SINGGASANA
1411;20219199;3273040; SMP COKROAMINOTO
1412;20219367;3273040; SMP YP SEJATI
1413;20219468;3273040; SMP KRISTEN KALAM KUDUS
1414;20269169;3273040; SMP BINTANG MULIA
1415;69725735;3273040; SMP YUDHISTIRA
1416;60726482;3273040; SMP MUHAMMADIYAH 7
1417;69888424;3273040; SMP PLUS AL-GOZALI
1418;69947366;3273040; SMP HARAPAN KASIH
1419;121232730012;3273050;MTs Muhammadiyah
1420;121232730013;3273050;MTs Persis 1-2
1421;20219473;3273050; SMP GANESHA
1422;20253821;3273050; SMP KRISTEN GAMALIEL
1423;20219409;3273050; SMP NEGERI 25
1424;20219374;3273050; SMP YAMI
1425;20219482;3273050; SMP PELITA BANGSA
1426;20258520;3273050; SMP GRACIA
1427;121232730011;3273060;MTs Nur Rohmah
1428;20219515;3273060; SMP PASUNDAN 2
1429;20219501;3273060; SMP NUGRAHA
1430;20219518;3273060; SMP PASUNDAN 1
1431;20219404;3273060; SMP NEGERI 3
1432;20219331;3273060; SMP NEGERI 11
1433;20247312;3273060; SMP SEBELAS MARET
1434;20219368;3273060; SMP YOS SUDARSO
1435;20219386;3273060; SMP NEGERI 43
1436;20219332;3273060; SMP NEGERI 10
1437;20219187;3273060; SMP ASSALAAM
1438;20219197;3273060; SMP DEWI SARTIKA
1439;20219466;3273060; SMP KRISTEN REHOBOTH
1440;20219406;3273070; SMP NEGERI 28
1441;20219195;3273070; SMP BPI 1
1442;20219507;3273070; SMP MUSLIMIN 3
1443;20270812;3273070; SMP BUDI ISTRI
1444;20219448;3273070; SMP KARTIKA X-1
1445;20219446;3273070; SMP MUHAMMADIYAH 1
1446;20219435;3273070; SMP MAARIF
1447;20219339;3273070; SMP NEGERI 13
1448;60725359;3273070; SMP IT BINA INSAN UNGGUL
1449;20219463;3273070; SMP KRISTEN 4 BPK PENABUR
1450;20280601;3273070; SMP ALFA CENTAURI
1451;20219431;3273070; SMP KEMALA BHAYANGKARI
1452;20219356;3273070; SMP TAMANSISWA
1453;20219361;3273080; SMP SANTO ALOYSIUS 2
1454;20219436;3273080; SMP MADYA
1455;20219421;3273080; SMP NEGERI 34
1456;121232730033;3273090;MTs Manba`ul Huda
1457;121232730034;3273090;MTs Zakaria
1458;121232730042;3273090;MTs Cijawura
1459;20219399;3273090; SMP NEGERI 42
